#;Material;Gensim;Split;Hybridisation;Hybridisation_type;Soerensen_normalisation;Alphabet_normalisation;Auxiliary_metrics;Outgroup identification;Outer distance split;Inner distance split;Split difference
218;Modern East Slavic;1;1;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.135055485301218;0.0382110812529866;3.53445861442777
219;Modern East Slavic;1;1;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0645336479271144;0.0149837936519778;4.30689646600921
220;Modern East Slavic;1;1;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.181489859456075;0.104620626067079;1.73474262464947
221;Old East Slavic;1;1;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.0579713631109697;0.00474116787742297;12.2272327430177
222;Old East Slavic;1;1;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0519548860563735;0.00624348233767004;8.32145960322556
223;Old East Slavic;1;1;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0438660296171216;0.00550911232537642;7.96244966998824
224;Old East Slavic;1;1;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0581878453945965;0.00488321409536737;11.915890693754
225;Old East Slavic;1;1;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0501900182255389;0.00430239852499969;11.6655902362142
226;Old East Slavic;1;1;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0514265259299323;0.00554754531062956;9.27014076503256
227;Old East Slavic;1;1;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0232722581065391;0.00239539579778981;9.71541242913259
228;Old East Slavic;1;1;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0203339456470265;0.00159263859044916;12.7674575820066
229;Old East Slavic;1;1;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0171755398498883;0.00179983616090237;9.54283518855246
230;Old East Slavic;1;1;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0235059448360577;0.00226792135827939;10.3645325929163
231;Old East Slavic;1;1;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0203132668281309;0.00192588943613752;10.5474729997327
232;Old East Slavic;1;1;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0206525607527423;0.00245715699003822;8.40506359034921
233;Old East Slavic;1;1;TRUE;ARRAY;NOT_USED;TRUE;vector;INCORRECT;0.144762504976431;0.0017768541932697;81.4712346824837
234;Old East Slavic;1;1;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.145850732249442;0.00296017156390854;49.2710402422974
235;Old East Slavic;1;1;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;INCORRECT;0.120774529998749;0.00511184463976594;23.6264085686843
236;Old East Slavic;1;1;TRUE;ARRAY;NOT_USED;FALSE;vector;INCORRECT;0.143998864182954;0.002138940476137;67.3225205607502
237;Old East Slavic;1;1;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.129987229966645;0.00398588903394453;32.6118536817385
238;Old East Slavic;1;1;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.130798262030807;0.00622293042479183;21.0187569363966
239;Old East Slavic;1;1;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0682925407517838;0.00553077815239181;12.3477273667631
240;Old East Slavic;1;1;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;INCORRECT;0.172642700363476;0.0166782499441661;10.3513678558262
