#;Material;Gensim;Split;Hybridisation;Hybridisation_type;Soerensen_normalisation;Alphabet_normalisation;Auxiliary_metrics;Outgroup identification;Outer distance split;Inner distance split;Split difference
91;Modern East Slavic;0;1;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0206546057790234;0.00740918580158888;2.78770249959099
92;Modern East Slavic;0;1;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0213039214878439;0.00783824556681306;2.71794514553667
93;Modern East Slavic;0;1;TRUE;ARRAY;NOT_USED;TRUE;vector;CORRECT;0.163056068824257;0.0564611346331272;2.88793468079878
94;Modern East Slavic;0;1;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.158434573484173;0.0378391965601524;4.18704908896023
95;Modern East Slavic;0;1;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;CORRECT;0.135219228217831;0.033319869355476;4.05821603846139
96;Modern East Slavic;0;1;TRUE;ARRAY;NOT_USED;FALSE;vector;CORRECT;0.160353589286675;0.0512926596600604;3.12624828483082
97;Modern East Slavic;0;1;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.141410557502376;0.0448727169208138;3.15137052547812
98;Modern East Slavic;0;1;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.146362794728599;0.0496581832924961;2.94740534236813
99;Modern East Slavic;0;1;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0636587717036758;0.0148644691563842;4.28261319216601
100;Modern East Slavic;0;1;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.177996170533661;0.102582833293159;1.73514578238434
101;Old East Slavic;0;1;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.0542380349818228;0.00713512027057079;7.60155861780364
102;Old East Slavic;0;1;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0465506738627352;0.00570314517617483;8.16228106154529
103;Old East Slavic;0;1;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0394113301221604;0.00543997444224792;7.24476383861001
104;Old East Slavic;0;1;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.054842851433866;0.00753771141980986;7.2757961109699
105;Old East Slavic;0;1;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0480282735963382;0.00618444785683102;7.76597599465386
106;Old East Slavic;0;1;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0485145301429723;0.00651000541958856;7.4523025736649
107;Old East Slavic;0;1;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0224126773133071;0.0024996042115104;8.96649045880912
108;Old East Slavic;0;1;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0192501505056061;0.00198158379907682;9.71452759887034
109;Old East Slavic;0;1;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0163169363548545;0.00195531790367963;8.34490203569882
110;Old East Slavic;0;1;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0226646197723324;0.00266605456750015;8.50118375243313
111;Old East Slavic;0;1;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0198467693736468;0.00215701140606601;9.20104980336828
112;Old East Slavic;0;1;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0200493029511442;0.00229160841036128;8.74900915029517
113;Old East Slavic;0;1;TRUE;ARRAY;NOT_USED;TRUE;vector;CORRECT;0.147838280356874;0.00512868656719689;28.8257584899901
114;Old East Slavic;0;1;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.144960737715968;0.00358814284022216;40.3999350558164
115;Old East Slavic;0;1;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;CORRECT;0.119309113811873;0.00554547925089392;21.514662378845
116;Old East Slavic;0;1;TRUE;ARRAY;NOT_USED;FALSE;vector;CORRECT;0.146371306064707;0.00421224553179622;34.7489966954253
117;Old East Slavic;0;1;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.130996849505255;0.00482197363607123;27.1666457330502
118;Old East Slavic;0;1;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.13216805411532;0.00556635950239387;23.7440743916162
119;Old East Slavic;0;1;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0648090613672244;0.00535168057149352;12.1100391739445
120;Old East Slavic;0;1;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.156875218819792;0.0162331430207001;9.66388447509818
121;Slavic standard;1;0.1;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.03657545272373;0.0142389035413589;2.56869867946583
122;Slavic standard;1;0.1;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0310450603727686;0.0111989788351052;2.77213314087641
123;Slavic standard;1;0.1;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0252124846864709;0.00946263532725742;2.66442526997163
124;Slavic standard;1;0.1;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0376025950788114;0.0152468303426023;2.46625654210523
125;Slavic standard;1;0.1;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0324580303168158;0.0125044935227443;2.59570931503769
126;Slavic standard;1;0.1;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0332755614329664;0.0133068245586572;2.50063877270538
127;Slavic standard;1;0.1;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0174698935103235;0.00358329446561484;4.87537200137023
128;Slavic standard;1;0.1;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0148277763248285;0.00248949727053145;5.95613279048228
129;Slavic standard;1;0.1;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0120416953194823;0.00225003765203136;5.35177502856937
